schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-1048576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,1048576,1048576,11894784,726,250290156,549365828,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-8192,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,8192,8192,71887232,561619,250000389,548729632,4,4,0,0,269968177558,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-4194304,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,4194304,4194304,6422528,98,250682759,550227346,4,4,50,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-1048576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,1048576,1048576,12025856,734,250317530,549425732,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,65536,65536,30329856,29619,250003429,548736244,4,4,0,0,2130445174199,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-134217728,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,134217728,134217728,4194304,2,429844657,943472868,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-8388608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,8388608,8388608,4194304,32,252997968,555309076,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,536870912,536870912,8388608,1,898558241,1972260480,4,4,0,0,18017315376524952,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,32768,32768,56343040,110045,250000735,548730248,4,4,2,0,1159780359782,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-8388608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,8388608,8388608,3801088,29,253638427,556714828,4,4,0,0,281029013297208,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-6291456,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,6291456,6291456,5898240,60,252868765,555025484,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,32768,32768,57304064,111922,250001582,548732212,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-294912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,294912,294912,16100352,3494,250051011,548840976,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-393216,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,393216,393216,13338624,2171,250040909,548818560,4,4,0,0,12930045718171,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-196608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,196608,196608,26913792,8761,250001785,548732888,4,4,0,0,6457801142200,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-134217728,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,134217728,134217728,4194304,2,429392200,942479768,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,262144,262144,17661952,4312,250044192,548825276,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-7340032,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,7340032,7340032,4587520,40,250698531,550261976,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,262144,262144,20144128,4918,250028818,548792064,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-2097152,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,2097152,2097152,11567104,353,250217975,549207240,4,4,0,0,69770734142908,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,33554432,33554432,3145728,6,286642146,629155232,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,33554432,33554432,3145728,6,291975509,640861408,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,32768,32768,58599424,114452,250000535,548730084,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-8388608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,8388608,8388608,4325376,33,253838293,557153484,4,4,0,0,281029013297208,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-5242880,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,5242880,5242880,6799360,83,251695134,552449444,4,4,0,0,175025535078835,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-98304,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,98304,98304,30359040,19765,250010259,548751592,4,4,0,0,3236676184393,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-294912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,294912,294912,17035776,3697,250039719,548816244,4,4,0,0,9646762909462,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-12582912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,12582912,12582912,3735552,19,261974938,575012776,4,4,0,0,420571946603603,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-7340032,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,7340032,7340032,3211264,28,250211672,549193380,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-8388608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,8388608,8388608,4587520,35,256691458,563415988,4,4,0,0,279867080901543,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-1048576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,1048576,1048576,11911168,727,250199529,549166716,4,4,0,0,34787464670297,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-36864,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,36864,36864,30208320,52445,250003250,548736184,4,4,0,0,1181423765807,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-49152,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,49152,49152,30253824,39393,250001521,548732372,4,4,0,0,1549705733025,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,32768,32768,57424896,112158,250001021,548731264,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-1048576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,1048576,1048576,11812864,721,250191570,549149532,4,4,0,0,34862813562011,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-229376,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,229376,229376,27460608,7662,250018609,548769924,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,33554432,33554432,3145728,6,291001475,638723856,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-5242880,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,5242880,5242880,6553600,80,250968905,550855468,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-65536,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,65536,65536,30324736,29614,250007709,548745968,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,262144,262144,22646784,5529,250032480,548800340,4,4,0,0,8825102311965,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,536870912,536870912,8388608,1,899182729,1973631212,4,4,0,0,18019549671907483,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-16384,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,16384,16384,74523136,291106,250000635,548730336,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-2097152,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,2097152,2097152,10289152,314,250600351,550046476,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-6291456,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,6291456,6291456,4816896,49,250931321,550772656,4,4,0,0,210085339415707,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-393216,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,393216,393216,14014464,2281,250013239,548757752,4,4,0,0,12930045718171,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-6291456,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,6291456,6291456,3440640,35,252292844,553761364,4,4,0,0,210536315421110,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-131072,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,131072,131072,30377984,14833,250005631,548740936,4,4,0,0,4278656075126,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-4194304,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,4194304,4194304,8192000,125,250882257,550665264,4,4,0,0,139966022091032,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-28672,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,28672,28672,71308160,159170,250000596,548730360,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-524288,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,524288,524288,12599296,1538,250068182,548878560,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-6291456,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,6291456,6291456,4030464,41,252148499,553444524,4,4,0,0,210536315421110,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-229376,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,229376,229376,27159552,7578,250002928,548735200,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,536870912,536870912,8388608,1,899886092,1975175032,4,4,0,0,18017315376524952,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-196608,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,196608,196608,25359360,8255,250007731,548745864,4,4,0,0,6457801142200,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,262144,262144,22835200,5575,250032226,548799500,4,4,0,0,8565085882191,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-36864,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,36864,36864,30231360,52485,250000549,548730256,4,4,0,0,1181423765807,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-24576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,24576,24576,75578496,196819,250001127,548731524,4,4,0,0,795992126708,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-24576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,24576,24576,75541248,196722,250000819,548730568,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,33554432,33554432,3145728,6,289265823,634914188,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-12582912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,12582912,12582912,3735552,19,264034411,579533124,4,4,0,0,420571946603603,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-28672,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,28672,28672,71678656,159997,250001519,548732136,4,4,0,0,925764701377,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-524288,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,524288,524288,12500992,1526,250149424,549056744,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-49152,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,49152,49152,30266880,39410,250006383,548742732,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-98304,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,98304,98304,30365184,19769,250011524,548754188,4,4,0,0,3236676184393,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-131072,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,131072,131072,29646848,14476,250009333,548749564,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-8192,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,8192,8192,71871872,561499,250000602,548730092,4,4,0,0,269968177558,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-16384,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,16384,16384,74497280,291005,250000914,548730796,4,4,0,0,523718600845,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,536870912,536870912,8388608,1,897614952,1970190044,4,4,0,0,18019549671907483,0
1,prefetch-gcc13-scalar-r1-prefetch_chain-scalar-cache_evicted-basic-32768,prefetch-gcc13-scalar,1,prefetch_chain,scalar,cache_evicted,basic,32768,32768,60472320,118110,250000507,548730164,4,4,0,0,0,0
