schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,basic,cycles,548731552,250033652,250033652
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,basic,instructions,1808329988,250032056,250032056
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,basic,ref_cycles,548733812,250029013,250029013
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,basic,cycles,685253766,312237512,312237512
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,basic,instructions,154141940,312235356,312235356
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,basic,ref_cycles,685257826,312232148,312232148
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,basic,cycles,549204197,250249430,250249430
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,basic,instructions,499484667,250245980,250245980
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,basic,ref_cycles,549205932,250242434,250242434
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,basic,cycles,548846553,250085244,250085244
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,basic,instructions,528841986,250082779,250082779
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,basic,ref_cycles,548847992,250079013,250079013
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,basic,cycles,548733946,250031507,250031507
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,basic,instructions,1755031951,250028338,250028338
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,basic,ref_cycles,548734912,250024915,250024915
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-1048576,random-access-mlp8-control,basic,cycles,548742025,250036233,250036233
