round,footprint_bytes,shuffle_key
1,36864,0166450792
1,536870912,0459017001
1,8388608,0483861763
1,6291456,0915574513
1,262144,1009857205
1,1048576,1085839302
1,32768,1669685219
2,1048576,0135442109
2,536870912,0250902719
2,32768,0282607837
2,8388608,0527055368
2,36864,0946774083
2,6291456,0985822071
2,262144,1132268686
3,536870912,0042788437
3,8388608,0570248973
3,32768,1043014102
3,6291456,1056069629
3,262144,1254680167
3,1048576,1332528563
3,36864,1727097374
4,36864,0359937018
4,1048576,0382131370
4,8388608,0613442578
4,6291456,1126317187
4,262144,1377091648
4,32768,1803420367
4,536870912,1982157802
5,32768,0416342985
5,8388608,0656636183
5,36864,1140260309
5,6291456,1196564745
5,262144,1499503129
5,1048576,1579217824
5,536870912,1774043520
6,1048576,0628820631
6,8388608,0699829788
6,32768,1176749250
6,6291456,1266812303
6,536870912,1565929238
6,262144,1621914610
6,36864,1920583600
7,36864,0553423244
7,8388608,0743023393
7,6291456,1337059861
7,536870912,1357814956
7,262144,1744326091
7,1048576,1825907085
7,32768,1937155515
8,32768,0550078133
8,8388608,0786216998
8,1048576,0875509892
8,536870912,1149700674
8,36864,1333746535
8,6291456,1407307419
8,262144,1866737572
9,8388608,0829410603
9,536870912,0941586392
9,32768,1310484398
9,6291456,1477554977
9,262144,1989149053
9,1048576,2072596346
9,36864,2114069826
10,536870912,0733472110
10,36864,0746909470
10,8388608,0872604208
10,1048576,1122199153
10,6291456,1547802535
10,32768,2070890663
10,262144,2111560534
11,262144,0086488368
11,1048576,0171801960
11,536870912,0525357828
11,32768,0683813281
11,8388608,0915797813
11,36864,1527232761
11,6291456,1618050093
12,36864,0160072405
12,262144,0208899849
12,536870912,0317243546
12,8388608,0958991418
12,1048576,1368888414
12,32768,1444219546
12,6291456,1688297651
13,32768,0057142164
13,536870912,0109129264
13,262144,0331311330
13,1048576,0418491221
13,36864,0940395696
13,8388608,1002185023
13,6291456,1758545209
14,262144,0453722811
14,32768,0817548429
14,8388608,1045378628
14,1048576,1615577675
14,36864,1720718987
14,6291456,1828792767
14,536870912,2048498629
15,36864,0353558631
15,262144,0576134292
15,1048576,0665180482
15,8388608,1088572233
15,32768,1577954694
15,536870912,1840384347
15,6291456,1899040325
