schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,36864,36864,278427456,483381,250000289,548729400,4,4,0,0,1519419037177,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,536870912,536870912,25165824,3,312199549,685251896,4,4,0,0,18022522355378459,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,8388608,8388608,81526784,622,250215952,549203040,4,4,0,0,0,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,6291456,6291456,86310912,878,250053021,548845424,4,4,0,0,0,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,262144,262144,284123136,69366,250001792,548732960,4,4,0,0,0,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-1048576,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,1048576,1048576,196952064,12021,250005375,548740848,4,4,0,0,34967009685969,0
1,random-access-mlp8-control-r1-mlp8_cycle-scalar-warm-basic-32768,random-access-mlp8-control,1,mlp8_cycle,scalar,warm,basic,32768,32768,273424896,534033,250000427,548729996,4,4,0,0,1355790775443,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-1048576,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,1048576,1048576,200572928,12242,250016038,548763972,4,4,0,0,0,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,536870912,536870912,25165824,3,312263909,685393176,4,4,0,0,18022522355378459,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-32768,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,32768,32768,274658816,536443,250000228,548729580,4,4,0,0,1355790775443,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,8388608,8388608,80740352,616,250110576,548971756,4,4,0,0,0,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,36864,36864,278888256,484181,250000691,548730136,4,4,0,0,1519419037177,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,6291456,6291456,86310912,878,250281506,549346648,4,4,0,0,0,0
1,random-access-mlp8-control-r2-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,2,mlp8_cycle,scalar,warm,basic,262144,262144,281210880,68655,250000941,548730972,4,4,0,0,9160837481068,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,536870912,536870912,16777216,2,262992609,577246768,4,4,0,0,0,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,8388608,8388608,60293120,460,250393116,549591604,4,4,0,0,0,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-32768,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,32768,32768,274015744,535187,250000611,548730084,4,4,0,0,1355790775443,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,6291456,6291456,82673664,841,250040937,548818444,4,4,0,0,211769981107856,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,262144,262144,280702976,68531,250001679,548732428,4,4,0,0,9160837481068,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-1048576,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,1048576,1048576,193855488,11832,250015449,548762364,4,4,0,0,0,0
1,random-access-mlp8-control-r3-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,3,mlp8_cycle,scalar,warm,basic,36864,36864,273226176,474351,250000631,548730132,4,4,0,0,1519419037177,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-36864,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,36864,36864,276777216,480516,250000500,548729792,4,4,0,0,0,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-1048576,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,1048576,1048576,190398464,11621,250010115,548750936,4,4,0,0,34967009685969,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-8388608,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,8388608,8388608,78381056,598,250226143,549225140,4,4,0,0,0,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-6291456,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,6291456,6291456,85917696,874,250069492,548881280,4,4,0,0,0,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-262144,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,262144,262144,282750976,69031,250000576,548730040,4,4,0,0,9160837481068,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-32768,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,32768,32768,274847744,536812,250000677,548730224,4,4,0,0,0,0
1,random-access-mlp8-control-r4-mlp8_cycle-scalar-warm-basic-536870912,random-access-mlp8-control,4,mlp8_cycle,scalar,warm,basic,536870912,536870912,25165824,3,321045069,704667088,4,4,0,0,18022522355378459,0
