build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,32768,15,0.798311315546,0.795191483784,0.801542950283,1.75222544257,1.74537771528,1.75931926715
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,262144,15,1.43698814952,1.40998473241,1.47307462361,3.15406632073,3.09479675519,3.23327337434
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,1048576,15,2.21786324257,2.2114236973,2.32622726254,4.86802073634,4.85388847634,5.10587065162
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,6291456,15,5.98771877053,5.65254658666,9.13830562874,13.1425336673,12.4068589485,20.0578110306
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,8388608,15,7.34895327512,7.28638993993,8.01677220662,16.1303369859,15.9930160747,17.596140035
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,33554432,15,12.8118199905,12.6196945111,13.0174597899,28.1208696365,27.6991669337,28.5722150803
stride16-gcc13-scalar,random_access,scalar,cache_evicted,basic,536870912,15,26.209915109,26.1699405238,28.7870051339,57.5285831988,57.4408427179,63.18508178
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,32768,15,0.797561179737,0.795657606739,0.80198493841,1.75057957239,1.74640081622,1.76028880823
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,262144,15,1.4406418469,1.41138599662,1.4699703916,3.16208630242,3.09787230045,3.22645987348
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,1048576,15,2.22002378065,2.21064108389,2.35830049868,4.87276370026,4.85216988458,5.17626915449
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,6291456,15,5.95162695426,5.64513796225,6.63441573249,13.0633150266,12.3905932547,14.5619627635
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,8388608,15,7.32094674952,7.29421786701,7.66754212976,16.0688557344,16.0101976956,16.8295853138
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,33554432,15,12.9225765069,12.7212278048,13.02318271,28.3639520009,27.9220147133,28.584792614
stride16-gcc13-scalar,random_access,scalar,cache_evicted,branch,536870912,15,26.2374404594,26.1671783179,29.9684230685,57.5889982283,57.4347795844,65.7781966031
stride16-gcc13-scalar,random_access,scalar,page_cold,basic,33554432,15,12.0079942942,11.9591565132,12.0493650436,26.3563289642,26.2491350174,26.4471521378
stride16-gcc13-scalar,random_access,scalar,page_cold,basic,536870912,15,26.2201094851,26.1991753727,28.3227918297,57.5509438813,57.5049928427,62.1661554277
stride16-gcc13-scalar,random_access,scalar,page_cold,branch,33554432,15,12.017459631,11.934458971,12.2197467089,26.3771095276,26.1949505806,26.8211112022
stride16-gcc13-scalar,random_access,scalar,page_cold,branch,536870912,15,26.2254226431,26.1882381663,27.435830459,57.562605679,57.4809887707,60.2193498015
stride16-gcc13-scalar,random_access,scalar,warm,basic,8192,15,0.633329427975,0.632399785123,0.6364537541,1.39010509285,1.38806414662,1.3969626614
stride16-gcc13-scalar,random_access,scalar,warm,basic,16384,15,0.665180545289,0.647710057679,0.691551286554,1.46001524773,1.42166852211,1.51789712133
stride16-gcc13-scalar,random_access,scalar,warm,basic,24576,15,0.733847170505,0.731762845469,0.734773148459,1.61073211566,1.60615729277,1.61276460662
stride16-gcc13-scalar,random_access,scalar,warm,basic,28672,15,0.757880853918,0.756453160123,0.760202274962,1.66348505066,1.66035038306,1.66857935509
stride16-gcc13-scalar,random_access,scalar,warm,basic,32768,15,0.797438118294,0.796029833911,0.798566473661,1.75030885352,1.74721877863,1.75278551318
stride16-gcc13-scalar,random_access,scalar,warm,basic,36864,15,0.830272184156,0.826178229769,0.833554331545,1.82237667251,1.81339105566,1.8295809082
stride16-gcc13-scalar,random_access,scalar,warm,basic,49152,15,0.907328770438,0.903508504684,0.910116806719,1.99151066229,1.98312544987,1.99762897644
stride16-gcc13-scalar,random_access,scalar,warm,basic,65536,15,0.970064646047,0.964004238012,0.973123633491,2.12921064199,2.11590735421,2.13592428486
stride16-gcc13-scalar,random_access,scalar,warm,basic,98304,15,1.02421009992,1.00939276427,1.076198963,2.24805405199,2.21553132313,2.36216665193
stride16-gcc13-scalar,random_access,scalar,warm,basic,131072,15,1.07352011345,1.06283941719,1.11542546233,2.35628538613,2.33284345373,2.44826404951
stride16-gcc13-scalar,random_access,scalar,warm,basic,196608,15,1.23134305534,1.14123279987,1.31655327249,2.70269327711,2.5049089776,2.88972244631
stride16-gcc13-scalar,random_access,scalar,warm,basic,229376,15,1.28109643874,1.23757506277,1.37450537993,2.81189725094,2.71637288349,3.01692238466
stride16-gcc13-scalar,random_access,scalar,warm,basic,262144,15,1.43667112488,1.43338947024,1.53352050536,3.15337185687,3.14616911076,3.36594825082
stride16-gcc13-scalar,random_access,scalar,warm,basic,294912,15,1.58397988344,1.5507474067,1.60323006354,3.47670121252,3.40375868155,3.51895381973
stride16-gcc13-scalar,random_access,scalar,warm,basic,393216,15,1.82640981572,1.82267717509,1.82922118292,4.00881538108,4.00062364289,4.01498495724
