schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-536870912,stride16-gcc13-scalar,basic,cycles,7723491343,3518846240,3518846240
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-536870912,stride16-gcc13-scalar,basic,instructions,805307154,3518844160,3518844160
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-536870912,stride16-gcc13-scalar,basic,ref_cycles,7723494306,3518840687,3518840687
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-8388608,stride16-gcc13-scalar,basic,cycles,578908180,263788916,263788916
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-8388608,stride16-gcc13-scalar,basic,instructions,213912802,263787798,263787798
1,stride16-gcc13-scalar-r0-random_access-scalar-cache_evicted-basic-8388608,stride16-gcc13-scalar,basic,ref_cycles,578912510,263784884,263784884
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,cycles,548836021,250080169,250080169
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,instructions,1178269112,250077054,250077054
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,ref_cycles,548837674,250073641,250073641
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-branch-28672,stride16-gcc13-scalar,branch,cycles,548742196,250039178,250039178
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-branch-28672,stride16-gcc13-scalar,branch,branches,332288632,250037873,250037873
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-branch-28672,stride16-gcc13-scalar,branch,branch_misses,46249,250034590,250034590
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-basic-134217728,stride16-gcc13-scalar,basic,cycles,1543712829,703350735,703350735
1,stride16-gcc13-scalar-r0-random_access-scalar-warm-basic-134217728,stride16-gcc13-scalar,basic,instructions,201327378,703350639,703350639
