schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-32768,random-gcc13-raw-selected,l1_miss,cycles,548744544,250029400,250029400
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-32768,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,67701895,250029201,250029201
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-36864,random-gcc13-raw-selected,l1_miss,cycles,548744357,250029284,250029284
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-36864,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,89415846,250028377,250028377
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-262144,random-gcc13-raw-selected,l1_miss,cycles,548797871,250054450,250054450
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-262144,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,159271620,250053041,250053041
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-1048576,random-gcc13-raw-selected,l1_miss,cycles,550068833,250634018,250634018
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-1048576,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,97060884,250633401,250633401
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-6291456,random-gcc13-raw-selected,l1_miss,cycles,552115576,251570161,251570161
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-6291456,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,36589424,251569665,251569665
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-8388608,random-gcc13-raw-selected,l1_miss,cycles,562432213,256272013,256272013
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-8388608,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,31077901,256271416,256271416
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-536870912,random-gcc13-raw-selected,l1_miss,cycles,7717952461,3516311222,3516311222
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l1_miss-536870912,random-gcc13-raw-selected,l1_miss,mem_load_uops_retired_l1_miss,134319689,3516310859,3516310859
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-32768,random-gcc13-raw-selected,l2_miss,cycles,548741692,250027845,250027845
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-32768,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,1010,250026965,250026965
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-36864,random-gcc13-raw-selected,l2_miss,cycles,548733590,250023338,250023338
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-36864,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,950,250022567,250022567
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-262144,random-gcc13-raw-selected,l2_miss,cycles,548850921,250076733,250076733
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-262144,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,35844260,250074423,250074423
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-1048576,random-gcc13-raw-selected,l2_miss,cycles,548863888,250082982,250082982
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-1048576,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,95012787,250081830,250081830
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-6291456,random-gcc13-raw-selected,l2_miss,cycles,563867138,256924553,256924553
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-6291456,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,43601775,256924512,256924512
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-8388608,random-gcc13-raw-selected,l2_miss,cycles,575315192,262139855,262139855
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-8388608,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,36919416,262140129,262140129
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-536870912,random-gcc13-raw-selected,l2_miss,cycles,7720204368,3517337299,3517337299
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l2_miss-536870912,random-gcc13-raw-selected,l2_miss,mem_load_uops_retired_l2_miss,142284073,3517336132,3517336132
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l3_miss-32768,random-gcc13-raw-selected,l3_miss,cycles,548736252,250025298,250025298
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l3_miss-32768,random-gcc13-raw-selected,l3_miss,mem_load_uops_retired_l3_miss,9,250023949,250023949
1,random-gcc13-raw-selected-r0-random_access-scalar-warm-l3_miss-36864,random-gcc13-raw-selected,l3_miss,cycles,548737336,250024349,250024349
