footprint_bytes,l1_miss_rows,l1_miss_per_op,l2_miss_rows,l2_miss_per_op,l3_miss_rows,l3_miss_per_op,dtlb_walk_rows,dtlb_walks_per_op
8192,15,0.000008082,15,0.000005095,15,0.000000932,15,0.000000000
16384,15,0.000006724,15,0.000006112,15,0.000001848,15,0.000000000
24576,15,0.000005860,15,0.000007110,15,0.000002105,15,0.000000000
28672,15,0.033481565,15,0.000004486,15,0.000003105,15,0.000000000
32768,15,0.241426292,15,0.000004377,15,0.000002805,15,0.000000000
36864,15,1.025420116,15,0.000004872,15,0.000000066,15,0.000000000
49152,15,1.018210884,15,0.000005230,15,0.000000050,15,0.000000000
65536,14,1.013655207,15,0.000005743,15,0.000000060,15,0.000000000
98304,15,1.009102392,15,0.000007050,15,0.000000614,15,0.000000000
131072,15,1.006825379,15,0.000010590,15,0.000002024,15,0.000000000
196608,15,1.004803963,15,0.153722735,15,0.000000467,15,0.000000000
229376,15,1.004094226,15,0.214694143,15,0.000004580,15,0.000000000
262144,15,1.003410481,15,0.389890395,15,0.000005100,15,0.000000000
294912,15,1.003003731,15,0.571904803,15,0.000000714,15,0.000000000
393216,15,1.002247676,15,0.799947806,15,0.000002473,15,0.000000000
524288,15,1.001687905,15,0.800745775,15,0.000007109,15,0.000000000
1048576,15,1.000829677,15,0.799631242,15,0.000050985,15,0.000000018
2097152,15,1.000378420,15,0.798232858,15,0.000263212,15,0.000000089
4194304,15,0.999815771,15,0.789404566,15,0.009563892,15,0.000829668
5242880,15,0.998613312,15,0.778101347,15,0.087916655,15,0.015700204
6291456,15,0.997816392,15,0.723755708,15,0.131184137,15,0.015686212
7340032,15,0.997101574,15,0.721817962,15,0.218797182,15,0.015710088
8388608,15,0.996605532,15,0.728203650,15,0.237289865,15,0.015698229
12582912,15,0.995823855,15,0.800132483,15,0.363976144,15,0.015681514
33554432,15,0.995990008,15,0.827870626,15,0.442093028,15,0.015647961
134217728,15,0.996290812,15,0.828126554,15,0.444627426,14,0.015631852
536870912,15,0.996310200,15,0.828477127,15,0.444683245,15,0.008945857
