footprint_bytes,gcc13_scalar_rows,gcc13_scalar_ns_per_op,gcc13_scalar_tsc_ticks_per_op,gcc13_auto_rows,gcc13_auto_ns_per_op,gcc13_auto_tsc_ticks_per_op,clang18_scalar_rows,clang18_scalar_ns_per_op,clang18_scalar_tsc_ticks_per_op,clang18_auto_rows,clang18_auto_ns_per_op,clang18_auto_tsc_ticks_per_op
8192,15,0.955269655,2.096736278,15,0.952590209,2.090855697,15,0.546532075,1.199591768,15,0.801769781,1.759817520
16384,15,0.805191907,1.767328282,15,0.797155956,1.749690091,15,0.414784128,0.910416407,15,0.658628189,1.445633684
24576,15,0.760523435,1.669284386,15,0.741383316,1.627273839,15,0.392028530,0.860469816,15,0.607856398,1.334193931
28672,15,0.765019151,1.679152414,15,0.757608600,1.662886947,15,0.386383277,0.848078959,15,0.598286666,1.313189168
32768,15,0.777577972,1.706718104,15,0.764887087,1.678862059,15,0.435922753,0.956813732,15,0.602130824,1.321626782
36864,15,1.263891356,2.774134284,15,1.277529861,2.804070253,14,1.211625416,2.659416273,15,1.216024270,2.669071376
49152,15,1.243462317,2.729295748,15,1.254742348,2.754054274,15,1.186437951,2.604131890,15,1.195667426,2.624389809
65536,15,1.232578076,2.705404865,15,1.232423936,2.705067319,15,1.174393176,2.577694139,15,1.181092859,2.592399854
98304,15,1.218256322,2.673969198,15,1.218650924,2.674836046,15,1.159254505,2.544465995,15,1.160255642,2.546663982
131072,15,1.185843259,2.602825618,15,1.188584186,2.608842727,15,1.117557656,2.452944958,15,1.127709601,2.475228077
196608,15,1.321216575,2.899958228,14,1.132889178,2.486596055,15,1.234568743,2.709774360,15,1.237642119,2.716520468
229376,15,1.458486481,3.201253672,15,1.498701593,3.289524405,15,1.406235606,3.086569334,15,1.374115425,3.016068359
262144,15,1.678522812,3.684214874,15,1.577002271,3.461387631,15,1.508413005,3.310839477,15,1.575518008,3.458130173
294912,15,1.927378776,4.230433949,15,1.897593741,4.165059196,15,1.822620304,4.000498052,15,1.793158429,3.935832516
393216,15,2.238770883,4.913913207,14,2.237266682,4.910612674,15,2.148970591,4.716809597,15,2.154610503,4.729189729
524288,15,2.234868725,4.905349454,15,2.235200061,4.906076917,15,2.145842128,4.709943737,15,2.151111457,4.721509390
1048576,15,2.230153040,4.894996591,15,2.229531917,4.893632881,15,2.140236584,4.697638992,15,2.145401608,4.708976893
2097152,15,2.227445746,4.889054227,15,2.227710620,4.889636854,15,2.138393359,4.693594518,15,2.143361895,4.704499765
4194304,15,2.337854872,5.131392909,15,2.289205257,5.024610312,14,2.157151071,4.734764983,15,2.202708299,4.834760388
5242880,15,2.444680881,5.365866873,15,2.457873054,5.394822646,15,2.312492491,5.075726059,15,2.365017060,5.191014074
6291456,15,2.754565042,6.046036361,15,2.790650931,6.125241107,15,2.561178135,5.621570599,15,2.677327624,5.876510074
7340032,14,3.015280533,6.618285096,15,3.051105230,6.696916901,15,2.833858851,6.220081495,15,2.961857553,6.501029163
8388608,14,3.307234713,7.259099474,15,3.284466847,7.209125617,15,3.160176928,6.936321991,15,3.170580550,6.959158508
12582912,15,4.080799967,8.957006992,15,4.088253755,8.973369696,15,3.939044964,8.645872260,15,4.032635250,8.851296340
33554432,15,4.564069530,10.017744446,15,4.619393789,10.139175929,15,4.587693783,10.069601352,15,4.621683634,10.144208688
134217728,15,4.574192789,10.039960791,15,4.581519833,10.056045744,15,4.589630806,10.073853419,15,4.629528798,10.161427865
536870912,15,4.598504152,10.093331814,15,4.627940212,10.157936164,15,4.638328637,10.180743013,15,4.681567754,10.275649548
