schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-7340032,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,7340032,7340032,84869120,740,250233041,549240560,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-33554432,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,33554432,33554432,54525952,104,251469692,551954896,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-536870912,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,536870912,536870912,58720256,7,274282237,602026544,4,4,0,0,18006694042731052,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-196608,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,196608,196608,201369600,65550,250001981,548733428,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-49152,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,49152,49152,211133952,274914,250000571,548730304,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,5242880,5242880,111575040,1362,250152914,549064680,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-1048576,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,1048576,1048576,116555776,7114,250017253,548766948,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-134217728,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,134217728,134217728,54525952,26,253339236,556058392,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-28672,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,28672,28672,417036480,930885,250000367,548729856,4,4,0,0,976161499717,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-24576,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,24576,24576,408254208,1063162,250000159,548729412,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-2097152,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,2097152,2097152,116686848,3561,250063466,548868384,4,4,0,0,70689683411531,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-6291456,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,6291456,6291456,90832896,924,250065290,548872384,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-134217728,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,134217728,134217728,54525952,26,251573470,552182680,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-4194304,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,4194304,4194304,116457472,1777,250083801,548912988,4,4,0,0,141368020905390,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-7340032,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,7340032,7340032,88997888,776,250230204,549234336,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-524288,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,524288,524288,116228096,14188,250008930,548748652,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-1048576,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,1048576,1048576,116473856,7109,250014517,548760920,4,4,0,0,35348285803208,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-12582912,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,12582912,12582912,63111168,321,250541423,549917456,4,4,0,0,423455210179455,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-536870912,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,536870912,536870912,58720256,7,275246775,604143624,4,4,0,0,18015042600573679,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-8388608,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,8388608,8388608,79822848,609,250232944,549240336,4,4,0,0,281507542950063,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-49152,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,49152,49152,206688768,269126,250000507,548730164,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-36864,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,36864,36864,205625088,356988,250000759,548730716,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-524288,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,524288,524288,116228096,14188,250011099,548753412,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-536870912,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,536870912,536870912,58720256,7,275778090,605309784,4,4,0,0,18015042600573679,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-1048576,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,1048576,1048576,116555776,7114,250024338,548782504,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-32768,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,32768,32768,416766464,813997,250000372,548729880,4,4,0,0,1103962522432,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-262144,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,262144,262144,205033472,50057,250001685,548732748,4,4,0,0,8846565440051,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-12582912,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,12582912,12582912,61931520,315,250381542,549566496,4,4,0,0,423455210179455,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-262144,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,262144,262144,162263040,39615,250004292,548738480,4,4,0,0,8842951601924,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-32768,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,32768,32768,415319552,811171,250000116,548729292,4,4,0,0,1103962522432,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-2097152,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,2097152,2097152,116654080,3560,250003724,548737224,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-8192,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,8192,8192,311810304,2436018,250000079,548729236,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-98304,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,98304,98304,215674368,140413,250000135,548729344,4,4,0,0,3269693229840,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-8192,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,8192,8192,311768576,2435692,250000139,548729356,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-16384,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,16384,16384,379582464,1482744,250000105,548729284,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-32768,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,32768,32768,416929792,814316,250000239,548729604,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-262144,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,262144,262144,158281728,38643,250005001,548740056,4,4,0,0,8842951601924,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-294912,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,294912,294912,147621888,32036,250005795,548741748,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-65536,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,65536,65536,213221376,208224,250000308,548729732,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-32768,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,32768,32768,415332352,811196,250000172,548729436,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-6291456,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,basic,6291456,6291456,95354880,970,250068464,548879328,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-393216,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,393216,393216,115802112,18848,250005393,548740896,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-33554432,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,33554432,33554432,54525952,104,251598347,552237308,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-36864,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,36864,36864,214267392,371992,250000149,548729376,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-65536,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,65536,65536,213543936,208539,250000993,548731260,4,4,0,0,2211460699481,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-536870912,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,536870912,536870912,58720256,7,274310138,602087776,4,4,0,0,18006694042731052,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-6291456,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,6291456,6291456,96534528,982,250145119,549047584,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-28672,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,28672,28672,417814656,932622,250000404,548729948,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-5242880,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,5242880,5242880,106250240,1297,250176248,549115896,4,4,0,0,176728404966152,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-131072,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,131072,131072,202557440,98905,250002245,548734008,4,4,0,0,4387134588690,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-393216,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,393216,393216,116011008,18882,250010415,548751920,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-4194304,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,4194304,4194304,115146752,1757,250006929,548744272,4,4,0,0,141368020905390,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-131072,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,131072,131072,217493504,106198,250000185,548729464,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-8388608,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,8388608,8388608,79167488,604,250236824,549248856,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-98304,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,98304,98304,215632896,140386,250001340,548732004,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-229376,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,229376,229376,206302208,57562,250002671,548734912,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-262144,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,262144,262144,145829888,35603,250007043,548744508,4,4,0,0,8846565440051,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-8388608,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,8388608,8388608,76939264,587,250405991,549620164,4,4,0,0,282530597735604,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-229376,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,229376,229376,199721984,55726,250003817,548737440,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-branch-33554432,stride16-clang18-auto,0,stride16_scan,auto,cache_evicted,branch,33554432,33554432,54001664,103,251557171,552146936,4,4,0,0,1126183803982906,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-294912,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,294912,294912,139364352,30244,250005603,548741380,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-basic-16384,stride16-clang18-auto,0,stride16_scan,auto,warm,basic,16384,16384,379552768,1482628,250000222,548729548,4,4,0,0,0,0
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-8388608,stride16-clang18-auto,0,stride16_scan,auto,warm,branch,8388608,8388608,77463552,591,250367585,549535864,4,4,0,0,282530597735604,0
