schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-7340032,stride16-clang18-auto,branch,cycles,544779171,250279697,250279697
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-7340032,stride16-clang18-auto,branch,branches,5330589,250280299,250280299
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-7340032,stride16-clang18-auto,branch,branch_misses,877,250276903,250276903
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-33554432,stride16-clang18-auto,basic,cycles,551956707,251509393,251509393
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-33554432,stride16-clang18-auto,basic,instructions,92031952,251509760,251509760
1,stride16-clang18-auto-r0-stride16_scan-auto-cache_evicted-basic-33554432,stride16-clang18-auto,basic,ref_cycles,551959980,251506261,251506261
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-536870912,stride16-clang18-auto,branch,cycles,602028329,274322100,274322100
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-536870912,stride16-clang18-auto,branch,branches,3670380,274321535,274321535
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-536870912,stride16-clang18-auto,branch,branch_misses,64,274317483,274317483
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-196608,stride16-clang18-auto,branch,cycles,548734796,250035329,250035329
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-196608,stride16-clang18-auto,branch,branches,14880035,250032640,250032640
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-196608,stride16-clang18-auto,branch,branch_misses,65615,250028667,250028667
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-49152,stride16-clang18-auto,branch,cycles,548731713,250033079,250033079
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-49152,stride16-clang18-auto,branch,branches,22818206,250031917,250031917
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-49152,stride16-clang18-auto,branch,branch_misses,275035,250028408,250028408
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-clang18-auto,branch,cycles,549066404,250191193,250191193
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-clang18-auto,branch,branches,7025315,250191396,250191396
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-clang18-auto,branch,branch_misses,1412,250187068,250187068
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-1048576,stride16-clang18-auto,branch,cycles,548768025,250051039,250051039
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-1048576,stride16-clang18-auto,branch,branches,7533888,250047567,250047567
1,stride16-clang18-auto-r0-stride16_scan-auto-warm-branch-1048576,stride16-clang18-auto,branch,branch_misses,7174,250043359,250043359
