schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-33554432,stride16-clang18-scalar,branch,cycles,550448374,250822716,250822716
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-33554432,stride16-clang18-scalar,branch,branches,6753932,250823726,250823726
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-33554432,stride16-clang18-scalar,branch,branch_misses,140,250820302,250820302
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-1048576,stride16-clang18-scalar,branch,cycles,548779419,250055717,250055717
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-1048576,stride16-clang18-scalar,branch,branches,14849833,250054619,250054619
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-1048576,stride16-clang18-scalar,branch,branch_misses,7175,250051285,250051285
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-134217728,stride16-clang18-scalar,branch,cycles,551391124,251252985,251252985
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-134217728,stride16-clang18-scalar,branch,branches,6816773,251253560,251253560
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-134217728,stride16-clang18-scalar,branch,branch_misses,57,251249536,251249536
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-12582912,stride16-clang18-scalar,branch,cycles,549315463,250309002,250309002
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-12582912,stride16-clang18-scalar,branch,branches,7998696,250309164,250309164
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-12582912,stride16-clang18-scalar,branch,branch_misses,377,250304956,250304956
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-536870912,stride16-clang18-scalar,branch,cycles,606730836,276464144,276464144
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-536870912,stride16-clang18-scalar,branch,branches,7340396,276463840,276463840
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-536870912,stride16-clang18-scalar,branch,branch_misses,71,276459976,276459976
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-28672,stride16-clang18-scalar,basic,cycles,548730724,250032456,250032456
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-28672,stride16-clang18-scalar,basic,instructions,1740193472,250030196,250030196
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-28672,stride16-clang18-scalar,basic,ref_cycles,548732140,250026572,250026572
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-1048576,stride16-clang18-scalar,basic,cycles,548748539,250041887,250041887
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-1048576,stride16-clang18-scalar,basic,instructions,278562824,250039850,250039850
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-1048576,stride16-clang18-scalar,basic,ref_cycles,548751082,250036302,250036302
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-7340032,stride16-clang18-scalar,branch,cycles,549218021,250260895,250260895
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-7340032,stride16-clang18-scalar,branch,branches,10878969,250261208,250261208
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-7340032,stride16-clang18-scalar,branch,branch_misses,801,250257448,250257448
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8388608,stride16-clang18-scalar,basic,cycles,549133256,250222540,250222540
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8388608,stride16-clang18-scalar,basic,instructions,188124833,250222688,250222688
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8388608,stride16-clang18-scalar,basic,ref_cycles,549136258,250218896,250218896
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-16384,stride16-clang18-scalar,basic,cycles,548730898,250031964,250031964
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-16384,stride16-clang18-scalar,basic,instructions,1822219558,250029936,250029936
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-16384,stride16-clang18-scalar,basic,ref_cycles,548732316,250026690,250026690
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-5242880,stride16-clang18-scalar,basic,cycles,548993284,250156965,250156965
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-5242880,stride16-clang18-scalar,basic,instructions,240294929,250156251,250156251
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-5242880,stride16-clang18-scalar,basic,ref_cycles,548996844,250152517,250152517
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-196608,stride16-clang18-scalar,basic,cycles,548735234,250033974,250033974
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-196608,stride16-clang18-scalar,basic,instructions,561706027,250030628,250030628
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-196608,stride16-clang18-scalar,basic,ref_cycles,548736738,250026843,250026843
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-536870912,stride16-clang18-scalar,basic,cycles,596968855,272016062,272016062
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-536870912,stride16-clang18-scalar,basic,instructions,139462361,272015349,272015349
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-536870912,stride16-clang18-scalar,basic,ref_cycles,596972376,272012009,272012009
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-262144,stride16-clang18-scalar,branch,cycles,548731305,250034174,250034174
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-262144,stride16-clang18-scalar,branch,branches,21542121,250032383,250032383
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-262144,stride16-clang18-scalar,branch,branch_misses,39439,250028725,250028725
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8192,stride16-clang18-scalar,basic,cycles,548730518,250031220,250031220
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8192,stride16-clang18-scalar,basic,instructions,1659839382,250028534,250028534
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8192,stride16-clang18-scalar,basic,ref_cycles,548731876,250025312,250025312
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-12582912,stride16-clang18-scalar,basic,cycles,550690663,250930375,250930375
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-12582912,stride16-clang18-scalar,basic,instructions,131259049,250930017,250930017
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-12582912,stride16-clang18-scalar,basic,ref_cycles,550693594,250926398,250926398
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-clang18-scalar,branch,cycles,548748942,250040876,250040876
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-clang18-scalar,branch,branches,16566147,250038222,250038222
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-clang18-scalar,branch,branch_misses,15699,250034714,250034714
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-8388608,stride16-clang18-scalar,basic,cycles,549142653,250226982,250226982
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-8388608,stride16-clang18-scalar,basic,instructions,147945977,250226648,250226648
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-8388608,stride16-clang18-scalar,basic,ref_cycles,549145850,250223259,250223259
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-6291456,stride16-clang18-scalar,basic,cycles,549065728,250191592,250191592
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-6291456,stride16-clang18-scalar,basic,instructions,170791417,250190470,250190470
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-6291456,stride16-clang18-scalar,basic,ref_cycles,549069246,250186986,250186986
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-6291456,stride16-clang18-scalar,branch,cycles,548854802,250095966,250095966
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-6291456,stride16-clang18-scalar,branch,branches,10043364,250095912,250095912
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-6291456,stride16-clang18-scalar,branch,branch_misses,858,250092305,250092305
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-24576,stride16-clang18-scalar,branch,cycles,548730880,250032449,250032449
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-24576,stride16-clang18-scalar,branch,branches,137868861,250029904,250029904
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-24576,stride16-clang18-scalar,branch,branch_misses,1661480,250025986,250025986
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-229376,stride16-clang18-scalar,branch,cycles,548735222,250035274,250035274
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-229376,stride16-clang18-scalar,branch,branches,21620192,250033398,250033398
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-229376,stride16-clang18-scalar,branch,branch_misses,44819,250029706,250029706
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-clang18-scalar,branch,cycles,549159867,250235601,250235601
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-clang18-scalar,branch,branches,10129625,250234650,250234650
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-clang18-scalar,branch,branch_misses,868,250230682,250230682
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-clang18-scalar,basic,cycles,548993333,250156447,250156447
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-clang18-scalar,basic,instructions,266601753,250155248,250155248
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-clang18-scalar,basic,ref_cycles,548996734,250152317,250152317
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-65536,stride16-clang18-scalar,basic,cycles,548732982,250033204,250033204
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-65536,stride16-clang18-scalar,basic,instructions,541846411,250031685,250031685
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-65536,stride16-clang18-scalar,basic,ref_cycles,548734824,250028363,250028363
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-1048576,stride16-clang18-scalar,branch,cycles,548778632,250056484,250056484
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-1048576,stride16-clang18-scalar,branch,branches,14853998,250055579,250055579
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-1048576,stride16-clang18-scalar,branch,branch_misses,7176,250051862,250051862
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-536870912,stride16-clang18-scalar,branch,cycles,599644734,273238191,273238191
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-536870912,stride16-clang18-scalar,branch,branches,7340396,273236893,273236893
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-536870912,stride16-clang18-scalar,branch,branch_misses,57,273232682,273232682
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-5242880,stride16-clang18-scalar,branch,cycles,548797084,250068120,250068120
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-5242880,stride16-clang18-scalar,branch,branches,13111019,250068981,250068981
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-5242880,stride16-clang18-scalar,branch,branch_misses,1324,250065126,250065126
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-294912,stride16-clang18-scalar,basic,cycles,548737164,250035252,250035252
