schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-33554432,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,33554432,33554432,54001664,103,250782503,550446488,4,4,0,0,1126183803982906,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-1048576,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,1048576,1048576,116801536,7129,250022190,548777584,4,4,0,0,35367931870377,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-134217728,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,134217728,134217728,54525952,26,251212032,551389240,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-12582912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,12582912,12582912,63897600,325,250266102,549312988,4,4,0,0,423455210179455,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-536870912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,536870912,536870912,58720256,7,276424698,606729072,4,4,0,0,18006694042731052,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-28672,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,28672,28672,632796416,1412492,250000161,548729440,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-1048576,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,1048576,1048576,116785152,7128,250008238,548747056,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-7340032,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,7340032,7340032,86818816,757,250221950,549216116,4,4,0,0,247228875589121,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8388608,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,8388608,8388608,79167488,604,250183269,549131188,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-16384,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,16384,16384,601143040,2348215,250000168,548729432,4,4,0,0,565111506682,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-5242880,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,5242880,5242880,101089280,1234,250119459,548991128,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-196608,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,196608,196608,231183360,75255,250002244,548733976,4,4,0,0,6667115048227,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-536870912,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,536870912,536870912,58720256,7,271977137,596967032,4,4,0,0,18015042600573679,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-262144,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,262144,262144,161308672,39382,250000332,548729808,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-8192,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,8192,8192,450124160,3516595,250000137,548729352,4,4,0,0,277544750740,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-12582912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,12582912,12582912,55246848,281,250892756,550688468,4,4,0,0,423455210179455,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,524288,524288,128147456,15643,250008445,548747600,4,4,0,0,17635518056580,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-8388608,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,8388608,8388608,62259200,475,250187467,549140436,4,4,0,0,281507542950063,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-6291456,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,6291456,6291456,71860224,731,250152536,549063740,4,4,0,0,210920685449919,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-6291456,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,6291456,6291456,80117760,815,250056506,548852996,4,4,0,0,210920685449919,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-24576,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,24576,24576,637811328,1660967,250000167,548729432,4,4,0,0,829473446522,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-229376,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,229376,229376,160427008,44762,250002195,548733884,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,6291456,6291456,80805888,822,250195492,549158060,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,4194304,4194304,112132096,1711,250119544,548991332,4,4,0,0,141368020905390,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-65536,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,65536,65536,213401600,208400,250001105,548731492,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-1048576,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,1048576,1048576,116834304,7131,250021810,548776948,4,4,0,0,35348285803208,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-536870912,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,536870912,536870912,58720256,7,273196277,599642948,4,4,0,0,18015042600573679,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-5242880,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,5242880,5242880,104529920,1276,250030047,548794876,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-294912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,294912,294912,136894464,29708,250003137,548735940,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-28672,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,28672,28672,650060544,1451028,250000184,548729484,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-131072,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,131072,131072,221579264,108193,250000794,548730792,4,4,0,0,4387134588690,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-33554432,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,33554432,33554432,55050240,105,251431202,551870332,4,4,0,0,1126673945468506,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-2097152,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,2097152,2097152,116883456,3567,250057907,548856056,4,4,0,0,70689683411531,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-7340032,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,7340032,7340032,89915392,784,250068758,548879848,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-32768,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,32768,32768,590104064,1152547,250000258,548729508,4,4,0,0,1072378616068,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-524288,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,524288,524288,116498432,14221,250008369,548747420,4,4,0,0,17635518056580,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-36864,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,36864,36864,213953472,371447,250000343,548729708,4,4,0,0,1251772322871,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-131072,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,131072,131072,222404608,108596,250000770,548730740,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-229376,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,229376,229376,182221312,50843,250002685,548734948,4,4,0,0,7738132306021,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-32768,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,32768,32768,580307456,1133413,250000192,548729508,4,4,0,0,1103962522432,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-98304,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,98304,98304,216457728,140923,250000775,548730656,4,4,0,0,3269693229840,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-16384,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,16384,16384,602414848,2353183,250000254,548729356,4,4,0,0,565111506682,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-536870912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,536870912,536870912,58720256,7,272765621,598697700,4,4,0,0,18006694042731052,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-8388608,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,8388608,8388608,80740352,616,250341203,549477876,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-32768,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,32768,32768,578689024,1130252,250000229,548729552,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-49152,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,49152,49152,208304640,271230,250000653,548730492,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-393216,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,393216,393216,116299776,18929,250008533,548747680,4,4,0,0,13163560371852,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-1048576,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,1048576,1048576,116768768,7127,250021104,548775228,4,4,0,0,35348285803208,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-24576,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,24576,24576,637578624,1660361,250000200,548729516,4,4,0,0,829473446522,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-6291456,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,6291456,6291456,97615872,993,250011637,548754516,4,4,0,0,212026233059311,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-32768,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,32768,32768,574885376,1122823,250000219,548729548,4,4,0,0,1103962522432,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-8192,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,8192,8192,458892928,3585101,250000100,548729272,4,4,0,0,277544750740,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-134217728,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,134217728,134217728,54525952,26,250510635,549849732,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-36864,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,36864,36864,207893376,360926,250000593,548730388,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-65536,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,65536,65536,214029312,209013,250001318,548731836,4,4,0,0,2211460699481,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-branch-262144,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,branch,262144,262144,160391168,39158,250004116,548738004,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-294912,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,294912,294912,139995648,30381,250002118,548733672,4,4,0,0,9959122970823,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-8388608,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,8388608,8388608,81133568,619,250183416,549131520,4,4,0,0,282530597735604,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-393216,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,393216,393216,116287488,18927,250006587,548743396,4,4,0,0,13163560371852,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-4194304,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,4194304,4194304,116785152,1782,250097703,548943420,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-2097152,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,2097152,2097152,116981760,3570,250025427,548784888,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-262144,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,262144,262144,180948992,44177,250004728,548739432,4,4,0,0,8846565440051,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-basic-33554432,stride16-clang18-scalar,0,stride16_scan,scalar,warm,basic,33554432,33554432,54525952,104,250148371,549054600,4,4,0,0,0,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-196608,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,196608,196608,196985856,64123,250003013,548735556,4,4,0,0,6667115048227,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-49152,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,49152,49152,207992064,270823,250000502,548730168,4,4,0,0,1698083955936,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-33554432,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,33554432,33554432,55050240,105,250197437,549162244,4,4,0,0,1126183803982906,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-cache_evicted-basic-262144,stride16-clang18-scalar,0,stride16_scan,scalar,cache_evicted,basic,262144,262144,180908032,44167,250001949,548733328,4,4,0,0,8842951601924,0
1,stride16-clang18-scalar-r0-stride16_scan-scalar-warm-branch-98304,stride16-clang18-scalar,0,stride16_scan,scalar,warm,branch,98304,98304,221454336,144176,250000155,548729392,4,4,1,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-1048576,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,1048576,1048576,116817920,7130,250017412,548767280,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-12582912,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,12582912,12582912,63504384,323,250476372,549774548,4,4,0,0,421428453443259,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-16384,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,16384,16384,602397184,2353114,250000182,548729348,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-basic-1048576,stride16-clang18-scalar,1,stride16_scan,scalar,warm,basic,1048576,1048576,116752384,7126,250010642,548752296,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-basic-7340032,stride16-clang18-scalar,1,stride16_scan,scalar,warm,basic,7340032,7340032,89571328,781,250123757,549000576,4,4,0,0,245806271394985,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-134217728,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,134217728,134217728,54525952,26,250765888,550410004,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-cache_evicted-branch-6291456,stride16-clang18-scalar,1,stride16_scan,scalar,cache_evicted,branch,6291456,6291456,98697216,1004,250173050,549108748,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-49152,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,49152,49152,213064704,277428,250000852,548730936,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-basic-16384,stride16-clang18-scalar,1,stride16_scan,scalar,warm,basic,16384,16384,603561472,2357662,250000099,548729248,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-cache_evicted-branch-1048576,stride16-clang18-scalar,1,stride16_scan,scalar,cache_evicted,branch,1048576,1048576,116785152,7128,250005413,548740936,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-cache_evicted-branch-32768,stride16-clang18-scalar,1,stride16_scan,scalar,cache_evicted,branch,32768,32768,529480192,1034141,250000274,548729544,4,4,0,0,1114331772438,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-branch-131072,stride16-clang18-scalar,1,stride16_scan,scalar,warm,branch,131072,131072,223662080,109210,250000280,548729552,4,4,0,0,0,0
1,stride16-clang18-scalar-r1-stride16_scan-scalar-warm-basic-6291456,stride16-clang18-scalar,1,stride16_scan,scalar,warm,basic,6291456,6291456,95059968,967,250161579,549083532,4,4,0,0,210435711695743,0
