schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-65536,stride16-gcc13-auto,branch,cycles,548733404,250036386,250036386
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-65536,stride16-gcc13-auto,branch,branches,208470043,250034107,250034107
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-65536,stride16-gcc13-auto,branch,branch_misses,198065,250030079,250030079
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-4194304,stride16-gcc13-auto,basic,cycles,548774362,250055375,250055375
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-4194304,stride16-gcc13-auto,basic,instructions,559941150,250054707,250054707
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-4194304,stride16-gcc13-auto,basic,ref_cycles,548777790,250051514,250051514
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-branch-536870912,stride16-gcc13-auto,branch,cycles,594452482,270871165,270871165
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-branch-536870912,stride16-gcc13-auto,branch,branches,58720591,270870537,270870537
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-branch-536870912,stride16-gcc13-auto,branch,branch_misses,52,270866552,270866552
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-basic-536870912,stride16-gcc13-auto,basic,cycles,594871002,271061425,271061425
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-basic-536870912,stride16-gcc13-auto,basic,instructions,293602988,271059645,271059645
1,stride16-gcc13-auto-r0-stride16_scan-auto-cache_evicted-basic-536870912,stride16-gcc13-auto,basic,ref_cycles,594874302,271055899,271055899
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-gcc13-auto,branch,cycles,548869176,250100786,250100786
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-gcc13-auto,branch,branches,91946910,250100786,250100786
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-branch-5242880,stride16-gcc13-auto,branch,branch_misses,1165,250097635,250097635
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-5242880,stride16-gcc13-auto,basic,cycles,549160096,250232532,250232532
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-5242880,stride16-gcc13-auto,basic,instructions,435159385,250232947,250232947
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-5242880,stride16-gcc13-auto,basic,ref_cycles,549163736,250229623,250229623
1,stride16-gcc13-auto-r0-stride16_scan-auto-warm-basic-7340032,stride16-gcc13-auto,basic,cycles,549059947,250189566,250189566
