schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-5242880,stride16-gcc13-scalar,l3_miss,cycles,548936654,250119988,250119988
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-5242880,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,7517113,250119262,250119262
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-28672,stride16-gcc13-scalar,l1_miss,cycles,548730936,250022280,250022280
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-28672,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,13138457,250020478,250020478
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-393216,stride16-gcc13-scalar,l2_miss,cycles,548738751,250026354,250026354
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-393216,stride16-gcc13-scalar,l2_miss,mem_load_uops_retired_l2_miss,89434709,250023805,250023805
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-131072,stride16-gcc13-scalar,l2_miss,cycles,548731064,250020773,250020773
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-131072,stride16-gcc13-scalar,l2_miss,mem_load_uops_retired_l2_miss,1881,250018214,250018214
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-524288,stride16-gcc13-scalar,l2_miss,cycles,548744297,250027895,250027895
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-524288,stride16-gcc13-scalar,l2_miss,mem_load_uops_retired_l2_miss,89502459,250025480,250025480
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-32768,stride16-gcc13-scalar,l2_miss,cycles,548730329,250021019,250021019
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-32768,stride16-gcc13-scalar,l2_miss,mem_load_uops_retired_l2_miss,1020,250018323,250018323
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-36864,stride16-gcc13-scalar,l3_miss,cycles,548731880,250022439,250022439
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-36864,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,20,250021838,250021838
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-131072,stride16-gcc13-scalar,l1_miss,cycles,548735837,250025700,250025700
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-131072,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,211262821,250023566,250023566
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-524288,stride16-gcc13-scalar,l1_miss,cycles,548738074,250025776,250025776
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-524288,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,112081343,250022490,250022490
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-8388608,stride16-gcc13-scalar,l2_miss,cycles,549363164,250317594,250317594
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-8388608,stride16-gcc13-scalar,l2_miss,mem_load_uops_retired_l2_miss,55336804,250316045,250316045
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-33554432,stride16-gcc13-scalar,l1_miss,cycles,554236171,252537109,252537109
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-33554432,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,54826698,252535744,252535744
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-536870912,stride16-gcc13-scalar,l1_miss,cycles,595140927,271174440,271174440
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-536870912,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,58500509,271172710,271172710
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-134217728,stride16-gcc13-scalar,l3_miss,cycles,567140146,258414812,258414812
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-134217728,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,25206365,258415861,258415861
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-24576,stride16-gcc13-scalar,l2_miss,cycles,548730580,250022192,250022192
