schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-5242880,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,5242880,5242880,97484800,1190,250093845,548934776,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-28672,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,28672,28672,327028352,729974,250000259,548729600,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-393216,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,393216,393216,111765504,18191,250003797,548737272,4,4,0,0,13163560371852,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-131072,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,131072,131072,209684480,102385,250000407,548729948,4,4,0,0,4387134588690,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-524288,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,524288,524288,111796224,13647,250006397,548743092,4,4,0,0,17635518056580,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-32768,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,32768,32768,324456960,633705,250000141,548729356,4,4,0,0,1103962522432,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-36864,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,36864,36864,197796096,343396,250000496,548729888,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-131072,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,131072,131072,209831936,102457,250002326,548733928,4,4,0,0,4387134588690,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-524288,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,524288,524288,111878144,13657,250003556,548736856,4,4,0,0,17635518056580,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-8388608,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,8388608,8388608,75628544,577,250288150,549361232,4,4,0,0,282530597735604,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-33554432,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,33554432,33554432,55050240,105,252508229,554234124,4,4,0,0,1126673945468506,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-536870912,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,536870912,536870912,58720256,7,271144310,595139032,4,4,0,0,18006694042731052,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-134217728,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,134217728,134217728,56623104,27,258387245,567138096,4,4,0,0,4503877605846831,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-24576,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,24576,24576,333075072,867383,250000141,548729256,4,4,0,0,829473446522,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-196608,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,196608,196608,186123264,60587,250002158,548733448,4,4,0,0,6667115048227,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l1_miss-32768,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l1_miss,32768,32768,322868224,630602,250000276,548729644,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l3_miss-32768,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l3_miss,32768,32768,322921984,630707,250000418,548729880,4,4,0,0,1072378616068,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-33554432,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,33554432,33554432,55574528,106,251470783,551957020,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-24576,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,24576,24576,328437504,855306,250000141,548729248,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-2097152,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,2097152,2097152,112197632,3424,250056400,548852448,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-393216,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,393216,393216,111704064,18181,250013907,548759308,4,4,0,0,13163560371852,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-524288,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,524288,524288,111878144,13657,250010592,548752048,4,4,0,0,17635518056580,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l3_miss-33554432,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l3_miss,33554432,33554432,55574528,106,251799638,552678824,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l3_miss-6291456,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l3_miss,6291456,6291456,88670208,902,250155457,549069904,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-7340032,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,7340032,7340032,81657856,712,250331658,549456744,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-98304,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,98304,98304,203885568,132738,250001622,548732528,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-6291456,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,6291456,6291456,88670208,902,250023314,548779968,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-4194304,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,4194304,4194304,103153664,1574,250058572,548857340,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-16384,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,16384,16384,298896896,1167566,250000356,548729564,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-1048576,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,1048576,1048576,112115712,6843,250005158,548739560,4,4,0,0,35367931870377,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-2097152,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,2097152,2097152,112230400,3425,250034130,548803788,4,4,0,0,70689683411531,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-16384,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,16384,16384,311900672,1218362,250000163,548729264,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-294912,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,294912,294912,136995840,29730,250008365,548747140,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l2_miss-32768,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l2_miss,32768,32768,323874304,632567,250000488,548729964,4,4,0,0,1072378616068,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l2_miss-5242880,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l2_miss,5242880,5242880,91996160,1123,250201234,549170468,4,4,0,0,176728404966152,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-1048576,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,1048576,1048576,112132096,6844,250006006,548742244,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l1_miss-536870912,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l1_miss,536870912,536870912,58720256,7,270193875,593052624,4,4,0,0,18015042600573679,0
