schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-dtlb_walk-12582912,stride16-gcc13-scalar,dtlb_walk,cycles,549757094,250497393,250497393
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-dtlb_walk-12582912,stride16-gcc13-scalar,dtlb_walk,dtlb_load_misses_walk_completed,968322,250497770,250497770
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-524288,stride16-gcc13-scalar,l3_miss,cycles,273060768,250036749,125019047
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-524288,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,0,250033052,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-32768,stride16-gcc13-scalar,l3_miss,cycles,273078505,250025450,125037012
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-32768,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,0,250022732,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l1_miss-536870912,stride16-gcc13-scalar,l1_miss,cycles,301060448,277801098,138911584
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l1_miss-536870912,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,0,277799682,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-196608,stride16-gcc13-scalar,l1_miss,cycles,272745757,249887258,124875404
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-196608,stride16-gcc13-scalar,l1_miss,mem_load_uops_retired_l1_miss,0,249884527,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-7340032,stride16-gcc13-scalar,basic,cycles,549019739,250174677,250174677
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-7340032,stride16-gcc13-scalar,basic,instructions,419871443,250173109,250173109
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-7340032,stride16-gcc13-scalar,basic,ref_cycles,549023442,250168705,250168705
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,cycles,548737049,250040279,250040279
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,branches,181219532,250036928,250036928
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,branch_misses,58518,250033111,250033111
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,cycles,548735026,250039960,250039960
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,branches,208954299,250037449,250037449
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,branch_misses,133581,250033028,250033028
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,cycles,548362847,249898037,249898037
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,branches,112438763,249898166,249898166
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,branch_misses,13753,249894664,249894664
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,cycles,548941191,250140008,250140008
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,branches,55053417,250139117,250139117
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,branch_misses,132,250134463,250134463
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-262144,stride16-gcc13-scalar,l3_miss,cycles,273067678,250029123,125004382
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-262144,stride16-gcc13-scalar,l3_miss,mem_load_uops_retired_l3_miss,0,250025407,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-gcc13-scalar,basic,cycles,548341121,249894727,249894727
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-gcc13-scalar,basic,instructions,559941117,249894202,249894202
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-4194304,stride16-gcc13-scalar,basic,ref_cycles,548347052,249890049,249890049
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-32768,stride16-gcc13-scalar,branch,cycles,548730910,250036566,250036566
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-32768,stride16-gcc13-scalar,branch,branches,342081925,250031757,250031757
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-32768,stride16-gcc13-scalar,branch,branch_misses,632630,250026633,250026633
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,cycles,548912879,250128104,250128104
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,branches,95186477,250126079,250126079
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,branch_misses,1018,250120987,250120987
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l2_miss-33554432,stride16-gcc13-scalar,l2_miss,cycles,272044169,250651340,125156912
