schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-dtlb_walk-12582912,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,dtlb_walk,12582912,12582912,61734912,314,250467653,549755256,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-524288,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,524288,524288,111263744,13582,250011662,548754380,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l3_miss-32768,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l3_miss,32768,32768,322017792,628941,250000312,548729460,4,4,0,0,1103962522432,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-cache_evicted-l1_miss-536870912,stride16-gcc13-scalar,0,stride16_scan,scalar,cache_evicted,l1_miss,536870912,536870912,58720256,7,277770947,609683684,4,4,0,0,18015042600573679,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-l1_miss-196608,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,l1_miss,196608,196608,207074304,67407,250002326,548734000,4,4,0,0,6667115048227,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-basic-7340032,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,basic,7340032,7340032,83951616,732,250131570,549017544,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-196608,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,branch,196608,196608,179524608,58439,250002854,548735032,4,4,0,0,6667115048227,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-98304,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,branch,98304,98304,205082112,133517,250001910,548732772,4,4,0,0,3269693229840,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-524288,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,branch,524288,524288,112041984,13677,250002732,548734788,4,4,0,0,17635518056580,0
1,stride16-gcc13-scalar-r0-stride16_scan-scalar-warm-branch-33554432,stride16-gcc13-scalar,0,stride16_scan,scalar,warm,branch,33554432,33554432,55050240,105,250095782,548938972,4,4,0,0,1126673945468506,0
